Episode,Epsilon,Touches Session,Touches Globales,Reward,Episode Reward,Episode Duration,Episode Loss,True Value,Value Estimate,TD Error
187,0.1,0,83,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
188,0.1,1,84,-10,-10,0.0,0,-10.0,-8.932751429327869,-1.067248570672131
189,0.1,1,85,-10,-10,0.0,0,-10.0,-9.679825428798361,-0.3201745712016386
190,0.1,0,85,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
191,0.1,1,86,-10,-10,0.0,0,-10.0,-7.0,-3.0
192,0.1,1,87,-10,-10,0.0,0,-10.0,-8.349144567352306,-1.6508554326476936
193,0.1,1,88,-10,-10,0.0,0,-10.0,-9.57820741801794,-0.4217925819820607
194,0.1,0,88,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
195,0.1,1,89,-10,-10,0.0,0,-10.0,-8.1013541329,-1.8986458671000008
196,0.1,1,90,-10,-10,0.0,0,-10.0,-8.675544780598578,-1.3244552194014219
197,0.1,1,91,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
198,0.1,0,91,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
199,0.1,1,92,-10,-10,0.0,0,-10.0,-9.504743370205691,-0.4952566297943086
200,0.1,0,92,-10,-10,0.0,0,-10.0,-9.997813,-0.002186999999999273
201,0.1,0,92,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
202,0.1,1,93,-10,-10,0.0,0,-10.0,-7.946437652870353,-2.053562347129647
203,0.1,1,94,-10,-10,0.0,0,-10.0,-8.487811521746917,-1.5121884782530834
204,0.1,1,95,-10,-10,0.0,0,-10.0,-8.589172951216675,-1.4108270487833252
205,0.1,0,95,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
206,0.1,0,95,-10,-10,0.0,0,-10.0,-9.997813,-0.002186999999999273
207,0.1,0,95,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
208,0.1,1,96,-10,-10,0.0,0,-10.0,-8.608150851656298,-1.3918491483437023
209,0.1,0,96,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
210,0.1,1,97,-10,-10,0.0,0,-10.0,-9.851423011061707,-0.1485769889382933
211,0.1,1,98,-10,-10,0.0,0,-10.0,-8.27324622632493,-1.7267537736750693
212,0.1,0,98,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
213,0.1,0,98,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
214,0.1,2,100,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
215,0.1,2,102,-10,-10,0.0,0,-10.0,-9.1,-0.9000000000000004
216,0.1,0,102,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
217,0.1,0,102,-10,-10,0.0,0,-10.0,-9.9993439,-0.0006561000000004924
218,0.1,0,102,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
219,0.1,1,103,-10,-10,0.0,0,-10.0,-8.695726603358477,-1.3042733966415234
220,0.1,1,104,-10,-10,0.0,0,-10.0,-8.624322249271472,-1.3756777507285278
221,0.1,2,106,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
222,0.1,1,107,-10,-10,0.0,0,-10.0,-9.430406239869999,-0.569593760130001
223,0.1,0,107,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
224,0.1,0,107,-10,-10,0.0,0,-10.0,-9.9993439,-0.0006561000000004924
225,0.1,1,108,-10,-10,0.0,0,-10.0,-8.548999890954816,-1.451000109045184
226,0.1,1,109,-10,-10,0.0,0,-10.0,-8.555950655809935,-1.4440493441900646
227,0.1,1,110,-10,-10,0.0,0,-10.0,-8.614731854731097,-1.3852681452689026
228,0.1,0,110,-10,-10,0.0,0,-10.0,-9.9993439,-0.0006561000000004924
229,0.1,0,110,-10,-10,0.0,0,-10.0,-9.99999468559,-5.314410000067937e-06
230,0.1,0,110,-10,-10,0.0009739398956298828,0,-10.0,-9.9757,-0.02430000000000021
231,0.1,2,112,-10,-10,0.0,0,-10.0,-7.0,-3.0
232,0.1,0,112,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
233,0.1,0,112,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
234,0.1,1,113,-10,-10,0.0,0,-10.0,-9.7111,-0.28889999999999993
235,0.1,0,113,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
236,0.1,0,113,-10,-10,0.0,0,-10.0,-9.99980317,-0.00019683000000014772
237,0.1,0,113,-10,-10,0.0,0,-10.0,-9.99980317,-0.00019683000000014772
238,0.1,0,113,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
239,0.1,1,114,-10,-10,0.0,0,-10.0,-9.026112974156291,-0.9738870258437089
240,0.1,0,114,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
241,0.1,0,114,-10,-10,0.0,0,-10.0,-9.99980317,-0.00019683000000014772
242,0.1,0,114,-10,-10,0.0,0,-10.0,-9.999940951,-5.904900000075486e-05
243,0.1,1,115,-10,-10,0.0,0,-10.0,-8.612936245161304,-1.387063754838696
244,0.1,1,116,-10,-10,0.0,0,-10.0,-8.379488343706335,-1.6205116562936652
245,0.1,2,118,-10,-10,0.0,0,-10.0,-8.31061,-1.6893899999999995
246,0.1,1,119,-10,-10,0.0010287761688232422,0,-10.0,-7.609,-2.391
247,0.1,1,120,-10,-10,0.0,0,-10.0,-9.2827,-0.7172999999999998
248,0.1,0,120,-10,-10,0.0,0,-10.0,-9.999940951,-5.904900000075486e-05
249,0.1,0,120,-10,-10,0.0,0,-10.0,-9.999998405677,-1.594323000730924e-06
250,0.1,0,120,-10,-10,0.0,0,-10.0,-9.999998405677,-1.594323000730924e-06
251,0.1,1,121,-10,-10,0.0,0,-10.0,-9.973739022374025,-0.026260977625975457
252,0.1,1,122,-10,-10,0.0,0,-10.0,-8.273954042013425,-1.7260459579865746
253,0.1,0,122,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
254,0.1,0,122,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
255,0.1,0,122,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
256,0.1,0,122,-10,-10,0.0,0,-10.0,-7.0,-3.0
257,0.1,2,124,-10,-10,0.0,0,-10.0,-7.0,-3.0
258,0.1,2,126,-10,-10,0.0,0,-10.0,-8.5559955103,-1.4440044896999993
259,0.1,1,127,-10,-10,0.0,0,-10.0,-9.139188774875041,-0.8608112251249587
260,0.1,0,127,-10,-10,0.0,0,-10.0,-9.997813,-0.002186999999999273
261,0.1,1,128,-10,-10,0.0,0,-10.0,-8.617068000538088,-1.3829319994619116
262,0.1,0,128,-10,-10,0.0,0,-10.0,-9.999940951,-5.904900000075486e-05
263,0.1,0,128,-10,-10,0.0,0,-10.0,-9.99271,-0.0072899999999993526
264,0.1,0,128,-10,-10,0.0,0,-10.0,-9.997813,-0.002186999999999273
265,0.1,1,129,-10,-10,0.0,0,-10.0,-7.0,-3.0
266,0.1,0,129,-10,-10,0.0,0,-10.0,-9.999998405677,-1.594323000730924e-06
267,0.1,1,130,-10,-10,0.0,0,-10.0,-7.0,-3.0
268,0.1,1,131,-10,-10,0.0,0,-10.0,-7.0,-3.0
269,0.1,1,132,-10,-10,0.0,0,-10.0,-7.13404216505683,-2.8659578349431696
270,0.1,1,133,-10,-10,0.0,0,-10.0,-7.0,-3.0
271,0.1,1,134,-10,-10,0.0,0,-10.0,-8.728996242977097,-1.2710037570229034
272,0.1,0,134,-10,-10,0.0,0,-10.0,-8.504464553137,-1.4955354468630002
273,0.1,2,136,-10,-10,0.0,0,-10.0,-9.56679865309,-0.4332013469099998
274,0.1,2,138,-10,-10,0.0,0,-10.0,-9.73,-0.2699999999999996
275,0.1,1,139,-10,-10,0.0,0,-10.0,-8.31061,-1.6893899999999995
276,0.1,0,139,-10,-10,0.0,0,-10.0,-9.9999995217031,-4.782969007521842e-07
277,0.1,1,140,-10,-10,0.0,0,-10.0,-8.546517271197233,-1.4534827288027667
278,0.1,2,142,-10,-10,0.0,0,-10.0,-9.919,-0.08099999999999952
279,0.1,1,143,-10,-10,0.0,0,-10.0,-8.658999999999999,-1.341000000000001
280,0.1,1,144,-10,-10,0.0,0,-10.0,-8.31061,-1.6893899999999995
281,0.1,1,145,-10,-10,0.0,0,-10.0,-8.305507186955783,-1.6944928130442172
282,0.1,1,146,-10,-10,0.0,0,-10.0,-8.31061,-1.6893899999999995
283,0.1,1,147,-10,-10,0.0,0,-10.0,-8.969614570000001,-1.030385429999999
284,0.1,1,148,-10,-10,0.0,0,-10.0,-8.5559955103,-1.4440044896999993
285,0.1,2,150,-10,-10,0.0,0,-10.0,-9.870039595927,-0.12996040407299958
286,0.1,2,152,-10,-10,0.0,0,-10.0,-9.30601,-0.6939899999999994
287,0.1,2,154,-10,-10,0.0,0,-10.0,-8.7423642523,-1.2576357477000002
288,0.1,2,156,-10,-10,0.0,0,-10.0,-9.0719403277951,-0.9280596722049008
289,0.1,2,158,-10,-10,0.0,0,-10.0,-9.9757,-0.02430000000000021
290,0.1,1,159,-10,-10,0.0,0,-10.0,-7.756822471755928,-2.243177528244072
291,0.1,0,159,-10,-10,0.0,0,-10.0,-9.9999995217031,-4.782969007521842e-07
292,0.1,1,160,-10,-10,0.0,0,-10.0,-8.838366925806156,-1.161633074193844
293,0.1,1,161,-10,-10,0.0,0,-10.0,-8.77291775861114,-1.2270822413888602
294,0.1,1,162,-10,-10,0.0,0,-10.0,-8.26553184112084,-1.7344681588791602
295,0.1,1,163,-10,-10,0.0,0,-10.0,-8.522201718948908,-1.4777982810510917
296,0.1,2,165,-10,-10,0.0,0,-10.0,-9.150049857687439,-0.8499501423125615
297,0.1,2,167,-10,-10,0.0,0,-10.0,-9.168561816271923,-0.8314381837280767
298,0.1,1,168,-10,-10,0.0,0,-10.0,-8.547555526613055,-1.4524444733869455
299,0.1,1,169,-10,-10,0.0,0,-10.0,-9.094692961416058,-0.9053070385839419
